season,league_name,buildUpPlaySpeed,buildUpPlayDribbling,buildUpPlayPassing,chanceCreationPassing,chanceCreationCrossing,chanceCreationShooting,defencePressure,defenceAggression,defenceTeamWidth
0,2008/2009,Belgium Jupiler League,52.57142857142857,47.214285714285715,48.142857142857146,49.07142857142857,56.0,45.42857142857143,48.214285714285715,49.57142857142857,52.5
1,2008/2009,England Premier League,56.9,35.85,51.2,49.95,54.15,54.0,43.75,43.85,49.65
2,2008/2009,France Ligue 1,53.27777777777778,58.166666666666664,48.388888888888886,51.44444444444444,55.27777777777778,54.833333333333336,45.166666666666664,45.77777777777778,50.611111111111114
3,2008/2009,Germany Bundesliga 1,52.77777777777778,50.55555555555556,48.27777777777778,50.55555555555556,50.611111111111114,50.833333333333336,46.55555555555556,51.27777777777778,48.27777777777778
4,2008/2009,Italy Serie A,58.21052631578947,56.421052631578945,48.89473684210526,58.73684210526316,57.78947368421053,58.26315789473684,40.73684210526316,54.421052631578945,49.526315789473685
5,2008/2009,Netherlands Eredivisie,49.86666666666667,43.8,45.666666666666664,53.266666666666666,53.333333333333336,48.4,47.666666666666664,49.0,51.333333333333336
6,2008/2009,Poland Ekstraklasa,53.36363636363637,51.18181818181818,46.18181818181818,54.45454545454545,53.90909090909091,55.09090909090909,46.0,46.90909090909091,54.45454545454545
7,2008/2009,Portugal Liga ZON Sagres,53.5,50.583333333333336,48.833333333333336,54.0,56.25,54.0,42.333333333333336,47.5,55.833333333333336
8,2008/2009,Scotland Premier League,57.81818181818182,50.90909090909091,56.63636363636363,53.27272727272727,55.54545454545455,56.27272727272727,46.0,45.63636363636363,53.09090909090909
9,2008/2009,Spain LIGA BBVA,47.1,47.7,45.85,53.85,54.95,49.3,47.65,49.35,55.65
10,2008/2009,Switzerland Super League,56.75,52.0,51.25,51.5,55.25,53.625,44.5,44.375,52.75
11,2009/2010,Belgium Jupiler League,52.583333333333336,46.75,47.416666666666664,48.5,55.583333333333336,45.0,48.666666666666664,50.333333333333336,53.166666666666664
12,2009/2010,England Premier League,56.0,36.05,54.05,52.7,55.85,54.1,44.15,44.7,50.75
13,2009/2010,France Ligue 1,53.1764705882353,58.705882352941174,48.35294117647059,51.411764705882355,54.94117647058823,54.05882352941177,45.588235294117645,45.64705882352941,50.05882352941177
14,2009/2010,Germany Bundesliga 1,52.5,51.833333333333336,48.0,50.94444444444444,48.111111111111114,50.05555555555556,49.22222222222222,52.111111111111114,48.333333333333336
15,2009/2010,Italy Serie A,56.95,55.85,48.3,57.8,54.05,58.95,41.45,56.3,48.4
16,2009/2010,Netherlands Eredivisie,50.3125,42.9375,46.25,52.5625,52.25,48.8125,46.625,47.8125,50.5
17,2009/2010,Poland Ekstraklasa,52.25,52.416666666666664,44.75,52.916666666666664,53.5,53.25,46.5,46.583333333333336,54.0
18,2009/2010,Portugal Liga ZON Sagres,52.84615384615385,51.46153846153846,48.15384615384615,53.92307692307692,54.76923076923077,53.23076923076923,41.92307692307692,45.69230769230769,54.92307692307692
19,2009/2010,Scotland Premier League,57.36363636363637,50.81818181818182,56.45454545454545,53.0,54.81818181818182,54.90909090909091,45.72727272727273,45.54545454545455,53.63636363636363
20,2009/2010,Spain LIGA BBVA,46.94736842105263,47.473684210526315,45.94736842105263,54.10526315789474,56.421052631578945,50.10526315789474,47.78947368421053,49.421052631578945,55.63157894736842
21,2009/2010,Switzerland Super League,56.625,53.75,50.25,51.625,53.5,52.5,44.25,45.375,52.0
22,2010/2011,Belgium Jupiler League,53.84615384615385,46.53846153846154,48.23076923076923,49.07692307692308,55.30769230769231,46.23076923076923,47.84615384615385,50.23076923076923,54.07692307692308
23,2010/2011,England Premier League,56.65,36.65,53.45,52.45,55.15,53.85,44.4,44.6,51.05
24,2010/2011,France Ligue 1,53.2,57.2,48.75,51.0,54.05,54.05,45.3,45.25,50.5
25,2010/2011,Germany Bundesliga 1,53.22222222222222,51.5,48.333333333333336,52.05555555555556,48.611111111111114,49.5,50.22222222222222,50.888888888888886,48.5
26,2010/2011,Italy Serie A,57.10526315789474,55.26315789473684,46.421052631578945,59.10526315789474,53.21052631578947,60.36842105263158,42.10526315789474,55.526315789473685,50.0
27,2010/2011,Netherlands Eredivisie,50.0625,43.625,47.125,52.9375,52.8125,48.0625,46.5,48.5,50.375
28,2010/2011,Poland Ekstraklasa,52.416666666666664,52.416666666666664,45.166666666666664,53.083333333333336,53.583333333333336,54.25,46.5,46.0,55.416666666666664
29,2010/2011,Portugal Liga ZON Sagres,52.916666666666664,51.333333333333336,47.833333333333336,55.083333333333336,56.25,53.666666666666664,42.25,45.5,55.416666666666664
30,2010/2011,Scotland Premier League,57.666666666666664,50.666666666666664,56.666666666666664,52.75,55.0,54.916666666666664,45.5,45.166666666666664,53.0
31,2010/2011,Spain LIGA BBVA,46.3,47.9,45.75,54.45,56.2,51.4,47.5,49.8,55.55
32,2010/2011,Switzerland Super League,57.375,55.125,47.625,52.875,50.125,52.75,44.25,45.5,51.875
33,2011/2012,Belgium Jupiler League,53.357142857142854,47.07142857142857,48.5,49.642857142857146,56.357142857142854,46.642857142857146,47.785714285714285,49.57142857142857,53.642857142857146
34,2011/2012,England Premier League,54.9,35.45,49.8,48.8,54.25,53.15,45.9,45.85,51.55
35,2011/2012,France Ligue 1,54.0,56.9,48.45,51.7,55.1,55.95,45.55,46.15,50.7
36,2011/2012,Germany Bundesliga 1,54.0,50.94444444444444,49.77777777777778,50.22222222222222,49.666666666666664,51.111111111111114,50.166666666666664,52.27777777777778,48.166666666666664
37,2011/2012,Italy Serie A,59.48164464023495,55.328928046989724,47.54919236417034,59.25550660792952,55.881057268722465,58.70778267254038,40.68135095447871,55.65491923641704,48.7856093979442
38,2011/2012,Netherlands Eredivisie,50.4375,43.25,46.625,52.5625,51.75,48.25,45.75,47.5625,49.8125
39,2011/2012,Poland Ekstraklasa,54.785714285714285,52.57142857142857,48.57142857142857,54.92857142857143,54.357142857142854,53.642857142857146,44.5,44.642857142857146,54.857142857142854
40,2011/2012,Portugal Liga ZON Sagres,53.84615384615385,52.53846153846154,47.30769230769231,55.0,55.53846153846154,53.07692307692308,42.0,45.07692307692308,55.23076923076923
