Id,season,league_name,Club,MP,W,D,L,Pts,GF,GA,GD,avg_goals
999,2013/2014,Italy Serie A,Juventus,38,33,3,2,102,80,23,57,2.1052631578947367
725,2011/2012,Spain LIGA BBVA,Real Madrid CF,38,32,4,2,100,121,32,89,3.1842105263157894
901,2012/2013,Spain LIGA BBVA,FC Barcelona,38,32,4,2,100,115,40,75,3.026315789473684
1061,2013/2014,Scotland Premier League,Celtic,38,31,6,1,99,102,25,77,2.6842105263157894
346,2009/2010,Spain LIGA BBVA,FC Barcelona,38,31,6,1,99,98,24,74,2.5789473684210527
1340,2015/2016,France Ligue 1,Paris Saint-Germain,38,30,6,2,96,102,19,83,2.6842105263157894
530,2010/2011,Spain LIGA BBVA,FC Barcelona,38,30,6,2,96,95,21,74,2.5
353,2009/2010,Spain LIGA BBVA,Real Madrid CF,38,31,3,4,96,102,35,67,2.6842105263157894
1264,2014/2015,Spain LIGA BBVA,FC Barcelona,38,30,4,4,94,110,21,89,2.8947368421052633
701,2011/2012,Scotland Premier League,Celtic,38,30,3,5,93,84,21,63,2.210526315789474
524,2010/2011,Scotland Premier League,Rangers,38,30,3,5,93,88,29,59,2.3157894736842106
1273,2014/2015,Spain LIGA BBVA,Real Madrid CF,38,30,2,6,92,118,38,80,3.1052631578947367
539,2010/2011,Spain LIGA BBVA,Real Madrid CF,38,29,5,4,92,102,33,69,2.6842105263157894
1249,2014/2015,Scotland Premier League,Celtic,38,29,5,4,92,84,17,67,2.210526315789474
516,2010/2011,Scotland Premier League,Celtic,38,29,5,4,92,85,22,63,2.236842105263158
715,2011/2012,Spain LIGA BBVA,FC Barcelona,38,28,7,3,91,114,29,85,3.0
1450,2015/2016,Spain LIGA BBVA,FC Barcelona,38,29,4,5,91,112,29,83,2.9473684210526314
803,2012/2013,Germany Bundesliga 1,FC Bayern Munich,34,29,4,1,91,98,18,80,2.8823529411764706
1374,2015/2016,Italy Serie A,Juventus,38,29,4,5,91,75,20,55,1.9736842105263157
1460,2015/2016,Spain LIGA BBVA,Real Madrid CF,38,28,6,4,90,110,34,76,2.8947368421052633
978,2013/2014,Germany Bundesliga 1,FC Bayern Munich,34,29,3,2,90,94,23,71,2.764705882352941
1073,2013/2014,Spain LIGA BBVA,Atlético Madrid,38,28,6,4,90,77,26,51,2.026315789473684
28,2008/2009,England Premier League,Manchester United,38,28,6,4,90,68,24,44,1.7894736842105263
581,2011/2012,England Premier League,Manchester City,38,28,5,5,89,93,29,64,2.4473684210526314
965,2013/2014,France Ligue 1,Paris Saint-Germain,38,27,8,3,89,84,23,61,2.210526315789474
582,2011/2012,England Premier League,Manchester United,38,28,5,5,89,89,33,56,2.3421052631578947
765,2012/2013,England Premier League,Manchester United,38,28,5,5,89,86,43,43,2.263157894736842
1430,2015/2016,Portugal Liga ZON Sagres,SL Benfica,34,29,1,4,88,88,22,66,2.588235294117647
